id,2020,2021,2022,2023,2024
19263,-,-,C,C,C
21032,-,C,C,C,-
21079,C,C,C,N,N
21110,C,C,C,C,C
21121,C,-,-,-,C
21132,C,C,C,C,C
21150,C,C,C,C,C
21173,C,C,C,C,C
21198,C,C,C,C,C
21201,C,C,C,C,C
21232,C,C,C,C,C
21247,C,C,C,C,C
21329,C,C,C,C,C
21343,-,C,-,C,C
21381,C,C,C,C,C
21393,C,C,C,C,C
21420,-,C,-,C,-
21467,C,C,C,N,N
21528,-,C,-,C,-
21531,C,C,C,C,C
21575,C,C,C,C,C
21624,C,C,C,C,C
21703,C,C,C,C,C
22069,C,C,C,C,C
22112,C,C,C,C,C
22128,C,C,C,C,C
22166,C,C,C,C,C
22278,C,C,C,C,C
22287,C,C,C,C,C
23137,C,C,N,C,C
23174,C,C,C,C,C
23197,C,C,-,C,C
23205,C,C,C,C,C
23243,C,C,C,C,C
23246,C,C,C,C,C
24030,C,C,C,C,C
24040,C,C,C,C,C
24052,C,C,C,C,C
24095,-,-,C,-,-
24194,C,C,C,C,C
24229,C,C,C,C,C
24230,C,N,C,C,C
24236,C,C,C,C,C
24263,C,C,C,C,C
24278,N,N,C,C,C
24287,N,N,C,C,C
24385,C,-,C,-,-
24390,N,N,C,C,C
24407,C,N,C,-,-
24423,C,C,C,C,C
24455,C,C,C,C,C
24490,C,C,C,-,-
25004,C,C,C,C,C
25011,C,C,C,C,C
25029,C,C,C,C,C
25051,C,C,C,C,C
25089,C,C,C,C,C
25119,C,C,C,C,C
25142,-,C,C,C,-
25160,C,C,C,C,C
25277,C,C,C,C,C
25290,C,C,C,C,C
25315,C,C,C,C,C
25329,-,C,-,-,-
25335,C,C,C,C,C
25346,C,C,C,C,C
25368,C,C,C,C,C
25377,C,C,C,C,C
25382,C,C,C,C,C
25404,C,C,C,C,C
25411,C,C,C,C,C
25422,-,C,-,-,-
25426,C,C,C,C,C
25436,C,C,C,-,C
25477,C,C,C,C,C
25482,C,C,C,C,C
25494,C,C,C,C,C
25507,C,C,C,C,C
25536,C,C,C,C,C
25540,C,C,C,C,C
25547,C,C,C,C,C
25611,C,C,C,C,C
25617,C,C,C,C,C
25629,C,C,C,C,C
26021,-,C,C,C,-
26070,C,C,C,C,C
26073,C,C,-,C,-
26084,C,C,C,C,C
26103,C,C,C,C,C
26170,C,C,C,C,C
26173,C,C,C,C,C
26206,C,C,C,C,C
26222,-,C,-,C,-
26225,C,C,C,C,C
26235,C,C,C,C,C
26242,-,-,C,C,-
26295,C,C,C,C,C
26311,C,C,C,C,C
26319,C,C,C,C,C
26358,C,C,C,C,C
27052,C,C,C,C,C
27115,C,C,C,C,C
27117,C,C,C,C,C
27138,C,C,C,C,C
27157,C,C,C,C,C
27194,C,C,C,C,C
27200,-,-,-,-,-
27215,C,C,C,C,C
27228,C,C,C,C,-
27251,C,C,C,C,C
27304,-,-,-,-,-
27397,C,C,C,C,C
27447,C,C,C,C,C
27488,C,C,C,C,C
27540,C,C,C,C,C
27663,C,C,C,C,C
28032,C,C,C,C,C
28076,C,C,C,C,C
28079,-,C,C,C,-
01045,C,C,C,C,C
01057,C,C,C,C,C
01083,C,C,C,C,C
01092,C,C,C,C,C
01115,C,C,C,C,C
01135,C,C,C,C,C
01152,C,C,C,C,C
01212,C,C,C,C,C
01224,C,C,C,C,C
01255,C,C,C,C,C
01263,C,C,C,C,C
01437,C,C,C,C,C
01448,C,C,C,C,C
02014,C,C,C,C,C
02032,-,-,-,-,C
02157,C,C,C,C,C
02173,C,C,C,C,C
02223,C,C,C,C,C
02233,C,C,C,C,C
02240,C,C,C,C,C
02309,C,C,C,C,C
02311,C,C,C,C,-
02363,C,C,C,C,C
02369,C,C,C,C,C
02380,-,C,C,-,-
02426,C,C,C,C,C
02433,C,C,C,C,C
02446,-,C,C,-,-
02501,C,C,C,C,C
02573,-,-,-,C,C
02588,C,C,C,C,C
02624,C,C,C,C,C
02667,C,C,C,C,C
02699,C,C,C,C,C
02709,-,C,-,C,-
02723,-,-,C,C,-
02744,C,C,C,C,C
02814,C,C,C,C,C
02826,C,C,C,C,C
03068,C,C,C,C,C
03088,C,C,C,C,C
03099,C,C,C,N,C
03129,C,C,C,C,C
03138,C,C,C,C,C
03142,C,C,C,C,C
03174,C,C,C,C,C
28237,-,-,-,C,-
28282,C,-,C,-,-
28286,C,C,C,C,C
28342,C,C,C,C,C
28360,C,C,C,C,C
29010,C,C,C,C,C
29043,C,C,C,C,C
29065,C,C,C,C,C
29085,C,C,C,C,C
29144,C,C,C,C,C
29178,C,C,C,C,C
29215,C,C,C,C,C
29217,C,C,C,C,C
29255,C,C,C,C,C
2A041,C,C,C,C,C
2A209,C,C,C,C,C
2A284,-,-,C,C,-
2B043,C,C,C,C,C
2B113,-,-,C,-,-
2B126,C,-,C,C,C
2B202,C,-,-,-,-
2B275,-,-,C,-,-
2B291,-,-,C,-,-
2B297,C,C,-,-,-
2B316,C,C,C,C,C
2B366,-,-,-,C,-
30019,C,C,C,C,C
30032,C,C,C,C,C
30040,C,-,C,-,C
30044,C,-,C,C,C
30051,C,C,C,C,C
30060,C,C,C,C,C
30079,C,C,C,C,C
30084,C,C,C,C,C
30097,C,C,C,C,C
30103,C,C,C,C,C
30119,C,C,C,-,C
30152,C,C,C,C,C
30183,C,C,C,C,C
30240,C,C,C,C,C
30257,C,C,C,C,C
30263,C,C,C,C,C
30280,C,-,C,C,C
30293,C,C,C,C,C
30299,C,C,C,C,C
30305,C,C,C,C,C
30306,C,-,C,-,C
30325,C,C,C,C,C
30342,C,C,C,C,C
30349,C,C,C,C,C
31027,C,C,C,C,C
31029,C,C,C,C,C
31051,C,C,C,C,C
31060,C,C,C,C,C
31067,C,C,C,-,-
31083,C,C,C,C,C
31087,C,C,C,C,C
31088,C,C,C,C,N
31181,C,C,C,C,C
31185,C,C,C,C,C
31233,C,C,C,C,C
31244,-,-,-,C,C
16397,C,C,C,C,C
16413,C,C,C,C,C
17002,N,N,C,C,C
17007,C,C,C,C,C
17034,C,C,C,C,C
17037,C,N,C,C,C
17107,C,C,C,C,C
17165,C,C,C,C,C
17212,C,C,C,C,C
17268,C,C,C,C,C
17274,C,C,C,N,N
17313,C,C,C,C,C
17397,C,C,C,C,N
17451,C,C,C,C,C
17459,C,C,N,N,C
18013,C,C,C,C,C
18043,C,C,C,C,C
18089,N,C,C,N,C
18155,C,C,C,C,C
18159,C,C,C,C,C
18237,C,C,C,C,C
18248,C,C,C,C,C
18255,C,C,C,N,C
18267,C,C,C,N,C
19040,C,-,-,C,C
19090,C,N,N,N,N
19099,C,C,C,C,C
19141,-,-,C,-,N
19167,-,C,-,-,N
19169,C,C,C,C,C
19201,C,C,N,N,N
19204,-,-,C,-,C
04206,C,-,C,-,C
05108,-,C,-,-,C
06060,C,C,C,C,C
55028,C,C,C,C,C
55070,C,C,C,C,C
55127,C,C,-,-,-
55141,C,-,-,-,C
55183,-,-,C,-,C
55198,C,C,C,C,C
55206,C,C,C,C,C
55257,-,C,-,-,C
55313,C,-,-,-,C
55324,C,C,C,C,C
55404,C,C,C,C,C
55522,C,C,C,C,C
55545,C,C,C,C,C
55562,C,C,C,C,C
56058,C,C,C,C,C
56073,C,C,C,C,C
